Source,Scraped,Headline,Link
Colombo Telegraph,2020-01-12,"Time Wasting, Corrupting Practices & Irregular Appointments",https://www.colombotelegraph.com/index.php/time-wasting-corrupting-practices-irregular-appointments/
Daily Mirror,2020-01-13,Making sense of the future:  Developing a new model for public services,http://www.dailymirror.lk/opinion/Making-sense-of-the-future-Developing-a-new-model-for-public-services/172-181105
Daily Mirror,2020-01-13,"Watergate, WikiLeaks, Whistleblowers and Stooges in Tapes: Art of Apprehending ‘Dignified’ Parliamentarians",http://www.dailymirror.lk/opinion/Watergate-WikiLeaks-Whistleblowers-and-Stooges-in-Tapes-Art-of-Apprehending-Dignified-Parliamen/172-181107
Daily Mirror,2020-01-13,18A and proposed 21A and 22A: A road down memory lane,http://www.dailymirror.lk/opinion/18A-and-proposed-21A-and-22A-A-road-down-memory-lane/172-181108
Colombo Telegraph,2020-01-13,Militant Monk Modernises Muslim Marriages,https://www.colombotelegraph.com/index.php/militant-monk-modernises-muslim-marriages/
Colombo Telegraph,2020-01-13,One Shot Politics & Legacy Presidency,https://www.colombotelegraph.com/index.php/one-shot-politics-legacy-presidency/
The Island,2020-01-13,"That Swiss  ""Third Person Note""",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216979
The Island,2020-01-13,Dr. Mrs. Sarojini Perera,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216981
The Island,2020-01-13,Have better diplomacy amidst military rivalry,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216980
Daily FT,2020-01-14,Human Rights Watch calls  on Sri Lanka to repeal abusive counterterrorism Law,http://www.ft.lk/opinion/Human-Rights-Watch-calls-on-Sri-Lanka-to-repeal-abusive-counterterrorism-Law/14-693484
Daily FT,2020-01-14,Central Bank’s Road Map for 2020  and Beyond: Government’s full cooperation is needed to realise targets,http://www.ft.lk/columns/Central-Bank-s-Road-Map-for-2020-and-Beyond-Government-s-full-cooperation-is-needed-to-realise-targets/4-693473
Daily FT,2020-01-14,Way forward to success,http://www.ft.lk/columns/Way-forward-to-success/4-693469
Daily FT,2020-01-14,The assassination  of an Iranian General,http://www.ft.lk/opinion/The-assassination-of-an-Iranian-General/14-693470
Daily FT,2020-01-14,The R&R; Supernova,http://www.ft.lk/opinion/The-R-R-Supernova/14-693463
Daily Mirror,2020-01-14,Higher education crisis,http://www.dailymirror.lk/opinion/Higher-education-crisis/172-181192
Daily Mirror,2020-01-14,Ranjan’s tapes and  looming coup against independent commissions,http://www.dailymirror.lk/opinion/Ranjans-tapes-and-looming-coup-against-independent-commissions/172-181193
Daily Mirror,2020-01-14,Iran’s Islamic regime will be in  deep trouble  if it doesn’t reform,http://www.dailymirror.lk/opinion/Irans-Islamic-regime-will-be-in-deep-trouble-if-it-doesnt-reform/172-181190
Daily Mirror,2020-01-14,A case against ragging,http://www.dailymirror.lk/opinion/A-case-against-ragging/172-181191
Daily Mirror,2020-01-14,"Rajapaksas were  elected by the people, not appointed Namal",http://www.dailymirror.lk/hard-talk/Rajapaksas-were-elected-by-the-people-not-appointed-Namal/334-181197
Colombo Telegraph,2020-01-14,Central Bank Road Map: Success Depends On Government’s Cooperation,https://www.colombotelegraph.com/index.php/central-bank-road-map-success-depends-on-governments-cooperation/
The Island,2020-01-14,Unique Jaffna University librarian,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217028
Daily FT,2020-01-15,Public health inspectors/Consumer Affairs Authority should conduct spot raids,http://www.ft.lk/opinion/Public-health-inspectors-Consumer-Affairs-Authority-should-conduct-spot-raids/14-693590
Daily FT,2020-01-15,EU continues to list Sri Lanka’s LTTE as a terrorist organisation,http://www.ft.lk/opinion/EU-continues-to-list-Sri-Lanka-s-LTTE-as-a-terrorist-organisation/14-693589
