Source,Scraped,Headline,Link
Daily FT,2020-01-14,"Chaudhary Group: Forging ahead globally, uplifting Nepal locally",http://www.ft.lk/columns/Chaudhary-Group-Forging-ahead-globally-uplifting-Nepal-locally/4-693462
Daily FT,2020-01-14,"Global growth of 2.5% in 2020 amid mounting debt, slowing productivity gain: WB",http://www.ft.lk/business/Global-growth-of-2-5-in-2020-amid-mounting-debt-slowing-productivity-gain-WB/34-693445
Daily FT,2020-01-14,Bahrain Chambers to assist  Sri Lanka in trade and investment,http://www.ft.lk/business/Bahrain-Chambers-to-assist-Sri-Lanka-in-trade-and-investment/34-693421
Daily FT,2020-01-14,Sri Lanka – Japan Business Council of the Ceylon Chamber of Commerce holds 40th AGM,http://www.ft.lk/business/Sri-Lanka-Japan-Business-Council-of-the-Ceylon-Chamber-of-Commerce-holds-40th-AGM/34-693420
Daily FT,2020-01-14,Power Ministry cautions CEB on hydropower generation,http://www.ft.lk/business/Power-Ministry-cautions-CEB-on-hydropower-generation/34-693418
Republic Next,2020-01-15,Port City Colombo launches Social Responsibility Report,https://www.republicnext.com/economy/development/port-city-colombo-launches-social-responsibility-report/
Republic Next,2020-01-15,Hamilton Canal to be redeveloped for tourism and commuting,https://www.republicnext.com/economy/hamilton-canal-to-be-redeveloped-for-tourism-and-commutin/
The Island,2020-01-15,Investors take wait-and-see approach at CSE,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217066
The Island,2020-01-15,Chinese delegates visit Marina Square-Uptown Colombo eyeing  investment opportunities,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217068
The Island,2020-01-15,President says greatest challenge before him is to regain  economic growth,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217070
The Island,2020-01-15,Prestige Automobile embarks on HV battery recycling project,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217072
The Island,2020-01-15,Huawei opens sale of new wearable products at One Galle Face  Huawei Experience Store,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217074
The Island,2020-01-15,Mobitel partners with Nations Group to expand customer outreach,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217067
The Island,2020-01-15,Daraz signs MoU with Samurdhi Development Dept. to uplift rural  entrepreneurs,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217069
The Island,2020-01-15,Cinnamon Dhonveli Maldives wins 'Leading Surf Resort Title,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217071
The Island,2020-01-15,Bitumix 'Sisu Senehasa' empowers education of needy children for  5th year,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=217073
