Source,Scraped,Headline,Link
Daily Mirror,2020-11-20,Dr. Anil Jasinghe back  to Covid-19 committee meetings,http://www.dailymirror.lk/print/front_page/Dr-Anil-Jasinghe-back-to-Covid-19-committee-meetings/238-200164
Daily Mirror,2020-11-20,Inmates stage protest in Welikada Prison,http://www.dailymirror.lk/print/front_page/Inmates-stage-protest-in-Welikada-Prison/238-200173
Daily Mirror,2020-11-20,Raw fish stunt grabs global attention,http://www.dailymirror.lk/print/front_page/Raw-fish-stunt-grabs-global-attention/238-200174
Daily Mirror,2020-11-20,Consuming raw fish not good for human body: GMOA,http://www.dailymirror.lk/print/front_page/Consuming-raw-fish-not-good-for-human-body-GMOA/238-200171
Daily Mirror,2020-11-20,Colombo Kings’ Ravinderpal Singh tests positive for Covid-19,http://www.dailymirror.lk/sports/Colombo-Kings-Ravinderpal-Singh-tests-positive-for-Covid-19/322-200210
Daily Mirror,2020-11-20,Chris Gayle withdraws from LPL,http://www.dailymirror.lk/sports/Chris-Gayle-withdraws-from-LPL/322-200202
Daily Mirror,2020-11-20,Zoysa’s ICC charges upheld by ICC independent tribunal,http://www.dailymirror.lk/sports/Zoysas-ICC-charges-upheld-by-ICC-independent-tribunal/322-200201
Daily Mirror,2020-11-20,Coach to commentate after commentator becomes coach at LPL,http://www.dailymirror.lk/sports/Coach-to-commentate-after-commentator-becomes-coach-at-LPL/322-200196
The Island,2020-11-20,EU demands lifting of SL import ban,http://island.lk/eu-demands-lifting-of-sl-import-ban/
The Island,2020-11-20,AA hands over proposals to improve road safety,http://island.lk/aa-hands-over-proposals-to-improve-road-safety/
The Island,2020-11-20,Labour Minister explains difficulties in bringing back Lankan migrant workers,http://island.lk/labour-minister-explains-difficulties-in-bringing-back-lankan-migrant-workers/
The Island,2020-11-20,Ex-President Sirisena blames open economic policies introduced in late 1970s for present ills,http://island.lk/ex-president-sirisena-blames-open-economic-policies-introduced-in-late-1970s-for-present-ills/
The Island,2020-11-20,Three lion cubs born at Ridiyagama Safari Park,http://island.lk/three-lion-cubs-born-at-ridiyagama-safari-park/
The Island,2020-11-20,Vast investments opportunities here – Prez tells new Chinese envoy,http://island.lk/vast-investments-opportunities-here-prez-tells-new-chinese-envoy/
The Island,2020-11-20,Minister Tennakoon slams opposition for calling govt. a failure after leaving behind a bankrupt economy,http://island.lk/minister-tennakoon-slams-opposition-for-calling-govt-a-failure-after-leaving-behind-a-bankrupt-economy/
The Island,2020-11-20,"SJB asks why govt. that promised to increase forest cover has taken away 700,000 acres from Wildlife",http://island.lk/sjb-asks-why-govt-that-promised-to-increase-forest-cover-has-taken-away-700000-acres-from-wildlife/
The Island,2020-11-20,TNA opposes burial of coronavirus victims,http://island.lk/tna-opposes-burial-of-coronavirus-victims/
The Island,2020-11-20,"Lalith, Anusha acquitted on all counts in ‘Sil Redi’ case appeal",http://island.lk/lalith-anusha-acquitted-on-all-counts-in-sil-redi-case-appeal/
Daily FT,2020-11-20,"Dual cluster exceeds 15,000 cases ",http://www.ft.lk/news/Dual-cluster-exceeds-15-000-cases/56-709166
Daily FT,2020-11-20,4 more COVID deaths: toll now tops 70,http://www.ft.lk/news/4-more-COVID-deaths-toll-now-tops-70/56-709165
Daily FT,2020-11-20,President visits Parliament,http://www.ft.lk/news/President-visits-Parliament/56-709164
Daily FT,2020-11-20,Lalith Weeratunga and Anusha Palpita acquitted in ‘Sil Redi’ case,http://www.ft.lk/news/Lalith-Weeratunga-and-Anusha-Palpita-acquitted-in-Sil-Redi-case/56-709163
Daily FT,2020-11-20,"RDA, Highway Ministry officials before COPE today",http://www.ft.lk/news/RDA-Highway-Ministry-officials-before-COPE-today/56-709162
Daily FT,2020-11-20,Rishad testifies before PCoI probing Easter Sunday attacks via Skype,http://www.ft.lk/news/Rishad-testifies-before-PCoI-probing-Easter-Sunday-attacks-via-Skype/56-709161
Daily FT,2020-11-20,"Human Rights Commission writes to Prisons Chief, IGP on remandee Sadiya",http://www.ft.lk/news/Human-Rights-Commission-writes-to-Prisons-Chief-IGP-on-remandee-Sadiya/56-709160
Daily FT,2020-11-20,Ravi Jayawardena assume duties as Secretary to Opposition Leader,http://www.ft.lk/news/Ravi-Jayawardena-assume-duties-as-Secretary-to-Opposition-Leader/56-709159
Daily FT,2020-11-20,"Govt. seeks investments, not loans, President tells new Chinese envoy",http://www.ft.lk/news/Govt-seeks-investments-not-loans-President-tells-new-Chinese-envoy/56-709158
Daily FT,2020-11-20,Port operations will continue to be an essential service: Minister,http://www.ft.lk/news/Port-operations-will-continue-to-be-an-essential-service-Minister/56-709157
